"name"	"parent_dir"	"type"	"size"
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"4_hometask_Py I_05.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"4_hometask_Py I_05.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"4_hometask_Py I_05.06.2024"	"file"	21
"config"	"4_hometask_Py I_05.06.2024"	"file"	322
"objects"	"4_hometask_Py I_05.06.2024"	"dir"	2256
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"cb"	".git"	"dir"	245
"b0706dea88d420531f1fa5ed4e13a04f4fc60a"	"objects"	"file"	245
"74"	".git"	"dir"	470
"7413411258edbdbe6cb754109ba2c6dce80ef3"	"objects"	"file"	470
"80"	".git"	"dir"	1298
"4c6f5abb13d897afd65eadc0a7b348812603f6"	"objects"	"file"	1298
"d0"	".git"	"dir"	107
"f61984910ecc42bbc738dd0bb3363387aed29c"	"objects"	"file"	107
"3e"	".git"	"dir"	136
"17dde1e4ef68de791adb09a9fca8580afe64ef"	"objects"	"file"	136
"index"	"4_hometask_Py I_05.06.2024"	"file"	281
"COMMIT_EDITMSG"	"4_hometask_Py I_05.06.2024"	"file"	11
"logs"	"4_hometask_Py I_05.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 5. Погружение в Python. Итераторы и генераторы.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2429133
"Лекция 5. Погружение в Python. Итераторы и генераторы.docx.pdf"	"Погружение в Python. Часть 1"	"file"	451884
"seminar 5_1.py"	"Погружение в Python. Часть 1"	"file"	578
"seminar 5_2.py"	"Погружение в Python. Часть 1"	"file"	520
"seminar 5_3.py"	"Погружение в Python. Часть 1"	"file"	380
"seminar 5_4.py"	"Погружение в Python. Часть 1"	"file"	818
"seminar 5_5.py"	"Погружение в Python. Часть 1"	"file"	476
"seminar 5_6.py"	"Погружение в Python. Часть 1"	"file"	954
"5_hometask_Py I_08.06.2024"	"Погружение в Python. Часть 1"	"dir"	31327
"task_1.py"	"Погружение в Python. Часть 1"	"file"	614
"task_2.py"	"Погружение в Python. Часть 1"	"file"	913
"task_3.py"	"Погружение в Python. Часть 1"	"file"	480
".git"	"Погружение в Python. Часть 1"	"dir"	29320
"description"	"5_hometask_Py I_08.06.2024"	"file"	73
"hooks"	"5_hometask_Py I_08.06.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"5_hometask_Py I_08.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"5_hometask_Py I_08.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"5_hometask_Py I_08.06.2024"	"file"	21
"config"	"5_hometask_Py I_08.06.2024"	"file"	322
"objects"	"5_hometask_Py I_08.06.2024"	"dir"	1379
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"39"	".git"	"dir"	362
"1ac1cc55ebf42d16fa2d84c7c15bd4dbcd03b9"	"objects"	"file"	362
"4b"	".git"	"dir"	522
"76f50b31415512a56b6957b6529d94203efb21"	"objects"	"file"	522
"28"	".git"	"dir"	254
"7ada6e6e65d95c6fbe5104954eb0adf8ea8ab7"	"objects"	"file"	254
"54"	".git"	"dir"	107
"a26e08825221031d1d6bc3574a1823e47412b5"	"objects"	"file"	107
"b1"	".git"	"dir"	134
"a8826d56c60df4d1bf1d8fe9519d711e3be3b0"	"objects"	"file"	134
"index"	"5_hometask_Py I_08.06.2024"	"file"	281
"COMMIT_EDITMSG"	"5_hometask_Py I_08.06.2024"	"file"	11
"logs"	"5_hometask_Py I_08.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"Лекция 6. Погружение в Python. Модули.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2600487
"Лекция 6. Погружение в Python. Модули.docx.pdf"	"Погружение в Python. Часть 1"	"file"	487783
"seminar 6_1.py"	"Погружение в Python. Часть 1"	"file"	1460
"seminar 6_2.py"	"Погружение в Python. Часть 1"	"file"	2843
"seminar 6_3.py"	"Погружение в Python. Часть 1"	"file"	1252
"6_hometask_Py I_12.06.2024"	"Погружение в Python. Часть 1"	"dir"	41703
"Package_seminar_6"	"Погружение в Python. Часть 1"	"dir"	8970
"check_year_module.py"	"6_hometask_Py I_12.06.2024"	"file"	1375
"puzzles_module.py"	"6_hometask_Py I_12.06.2024"	"file"	2887
"guess_number_module.py"	"6_hometask_Py I_12.06.2024"	"file"	1488
"__init__.py"	"6_hometask_Py I_12.06.2024"	"file"	532
"chess_module.py"	"6_hometask_Py I_12.06.2024"	"file"	2688
".git"	"Погружение в Python. Часть 1"	"dir"	32733
"description"	"6_hometask_Py I_12.06.2024"	"file"	73
"hooks"	"6_hometask_Py I_12.06.2024"	"dir"	25821
"applypatch-msg.sample"	".git"	"file"	478
"commit-msg.sample"	".git"	"file"	896
"fsmonitor-watchman.sample"	".git"	"file"	4726
"post-update.sample"	".git"	"file"	189
"pre-applypatch.sample"	".git"	"file"	424
"pre-commit.sample"	".git"	"file"	1643
"pre-merge-commit.sample"	".git"	"file"	416
"pre-push.sample"	".git"	"file"	1374
"pre-rebase.sample"	".git"	"file"	4898
"pre-receive.sample"	".git"	"file"	544
"prepare-commit-msg.sample"	".git"	"file"	1492
"push-to-checkout.sample"	".git"	"file"	2783
"sendemail-validate.sample"	".git"	"file"	2308
"update.sample"	".git"	"file"	3650
"info"	"6_hometask_Py I_12.06.2024"	"dir"	240
"exclude"	".git"	"file"	240
"refs"	"6_hometask_Py I_12.06.2024"	"dir"	82
"heads"	".git"	"dir"	41
"main"	"refs"	"file"	41
"tags"	".git"	"dir"	0
"remotes"	".git"	"dir"	41
"origin"	"refs"	"dir"	41
"main"	"remotes"	"file"	41
"HEAD"	"6_hometask_Py I_12.06.2024"	"file"	21
"config"	"6_hometask_Py I_12.06.2024"	"file"	322
"objects"	"6_hometask_Py I_12.06.2024"	"dir"	4462
"pack"	".git"	"dir"	0
"info"	".git"	"dir"	0
"93"	".git"	"dir"	318
"21a20d7629a9c585f118f6a892b72f67648fcc"	"objects"	"file"	318
"77"	".git"	"dir"	694
"278e7393b31261fce30a7dcdbb1f8ba09a9ceb"	"objects"	"file"	694
"68"	".git"	"dir"	1085
"2c8aa93f8e3e0ba040e907906f66f8f93d1d64"	"objects"	"file"	1085
"69"	".git"	"dir"	745
